lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
mediterranean_blue_sublime,4 Level Product Style,MEDITERRANEAN BLUE SUBLIME,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",MEDITERRANEAN BLUE SUBLIME,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Full coverage<br/>Made in Colombia</p>,MEDITERRANEAN BLUE SUBLIME,"Reversible
Seamless
Low rise
Full coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,MEDITERRANEAN BLUE SUBLIME,,active,2018,61.12.41.00.00,3007sac17|3007sbc17|3007scc17|3007sdc17
mediterranean_blue_flirt,4 Level Product Style,MEDITERRANEAN BLUE FLIRT,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",MEDITERRANEAN BLUE FLIRT,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Less coverage at rear<br/>Made in Colombia</p>,MEDITERRANEAN BLUE FLIRT,"Reversible
Seamless
Low rise
Less coverage at rear
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,MEDITERRANEAN BLUE FLIRT,,active,2018,61.12.41.00.00,3039sbc05|3039scc05|3039sdc05
ballerina_ornate,4 Level Product Style,BALLERINA ORNATE,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",BALLERINA ORNATE,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Ruffle detail at sides<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,BALLERINA ORNATE,"Reversible
Ruffle detail at sides
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,BALLERINA ORNATE,,active,2018,61.12.41.00.00,3052sbc03|3052sdc03
ballerina_sublime,4 Level Product Style,BALLERINA SUBLIME,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",BALLERINA SUBLIME,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/><br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Less coverage at rear<br/>Made in Colombia</p>,BALLERINA SUBLIME,"Reversible
Seamless
Low rise
Less coverage at rear
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,BALLERINA SUBLIME,,active,2018,61.12.41.00.00,3007sac18|3007sbc18|3007scc18|3007sdc18
arawaks_rocks,4 Level Product Style,ARAWAKS ROCKS,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",ARAWAKS ROCKS,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Brazilian cut<br/>Made in Colombia</p>,ARAWAKS ROCKS,"Reversible
Seamless
Low rise
Brazilian cut
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,ARAWAKS ROCKS,,active,2018,61.12.41.00.00,2062sbc10|2062sdc10
rally_racers,4 Level Product Style,RALLY RACERS,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",RALLY RACERS,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Bralette top<br/>Removable soft pads<br/>Pullover<br/>Triple shoulder strings<br/>Pleated on mid-front<br/>Criss cross back <br/>Full coverage at front<br/>Made in Colombia</p>,RALLY RACERS,"Reversible
Bralette top
Removable soft pads
Pullover
Triple shoulder strings
Pleated on mid-front
Criss cross back 
Full coverage at front
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,RALLY RACERS,,active,2018,61.12.41.00.00,2043sac07
hidden_lagoon,4 Level Product Style,HIDDEN LAGOON,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",HIDDEN LAGOON,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Full coverage<br/>Made in Colombia</p>,HIDDEN LAGOON,"Reversible
Seamless
Low rise
Full coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,HIDDEN LAGOON,,active,2018,61.12.41.00.00,2043sac08|2043sbc08
sunny_rides,4 Level Product Style,SUNNY RIDES,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SUNNY RIDES,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Crochet trim detail at sides<br/>Moderate coverage<br/>Made in Colombia</p>,SUNNY RIDES,"Reversible
Seamless
Low rise
Crochet trim detail at sides
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,SUNNY RIDES,,active,2018,61.12.41.00.00,2061sbc05|2061sdc05
american_flamingos,4 Level Product Style,AMERICAN FLAMINGOS,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",AMERICAN FLAMINGOS,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,AMERICAN FLAMINGOS,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,AMERICAN FLAMINGOS,,active,2018,61.12.41.00.00,2061sbc04|2061scc04
riohacha_village,4 Level Product Style,RIOHACHA VILLAGE,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",RIOHACHA VILLAGE,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Deep scoop one piece <br/>Adjustable criss cross back<br/>High leg cut<br/>Lace up and tie back string<br/>Made in Colombia</p>,RIOHACHA VILLAGE,"Reversible
Deep scoop one piece 
Adjustable criss cross back
High leg cut
Lace up and tie back string
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,RIOHACHA VILLAGE,,active,2018,61.12.41.00.00,2119sor02|2119soh02
wheels_and_frills,4 Level Product Style,WHEELS AND FRILLS,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",WHEELS AND FRILLS,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,WHEELS AND FRILLS,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,WHEELS AND FRILLS,,active,2018,61.12.41.00.00,2062sbc11|2062scc11
blue_cacique,4 Level Product Style,BLUE CACIQUE,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",BLUE CACIQUE,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Less coverage at rear<br/>Made in Colombia</p>,BLUE CACIQUE,"Reversible
Seamless
Low rise
Less coverage at rear
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,BLUE CACIQUE,,active,2018,61.12.41.00.00,2041sbc08|2041scc08
sand_stone_sublime,4 Level Product Style,SAND STONE SUBLIME,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SAND STONE SUBLIME,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,SAND STONE SUBLIME,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,SAND STONE SUBLIME,,active,2018,61.12.41.00.00,3007sac19|3007sbc19
sand_stone_rendezvous,4 Level Product Style,SAND STONE RENDEZVOUS,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SAND STONE RENDEZVOUS,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Adjustable at sides<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,SAND STONE RENDEZVOUS,"Reversible
Seamless
Adjustable at sides
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,SAND STONE RENDEZVOUS,,active,2018,61.12.41.00.00,3013sbc04|3013scc04
mauve_sublime,4 Level Product Style,MAUVE SUBLIME,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",MAUVE SUBLIME,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Full coverage<br/>Made in Colombia</p>,MAUVE SUBLIME,"Reversible
Seamless
Low rise
Full coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,MAUVE SUBLIME,,active,2018,61.12.41.00.00,3007sac20|3007sbc20|3007scc20|3007sdc20
mauve_flirt,4 Level Product Style,MAUVE FLIRT,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",MAUVE FLIRT,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Less coverage at rear<br/>Made in Colombia</p>,MAUVE FLIRT,"Reversible
Seamless
Low rise
Less coverage at rear
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,MAUVE FLIRT,,active,2018,61.12.41.00.00,3039sbc06|3039scc06|3039sdc06
desert_command,4 Level Product Style,DESERT COMMAND,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",DESERT COMMAND,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Deep scoop one piece <br/>Adjustable criss cross back<br/>Ruffle sleeve<br/>High leg cut<br/>Lace up and tie back string<br/>Made in Colombia</p>,DESERT COMMAND,"Reversible
Deep scoop one piece 
Adjustable criss cross back
Ruffle sleeve
High leg cut
Lace up and tie back string
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,DESERT COMMAND,,active,2018,61.12.41.00.00,2182sor01|2182soh01
sundown_society,4 Level Product Style,SUNDOWN SOCIETY,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SUNDOWN SOCIETY,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Brazilian cut<br/>Made in Colombia</p>,SUNDOWN SOCIETY,"Reversible
Seamless
Low rise
Brazilian cut
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,SUNDOWN SOCIETY,,active,2018,61.12.41.00.00,2110sbc03|2110sdc03
tempo_dusk,4 Level Product Style,TEMPO DUSK,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",TEMPO DUSK,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Less coverage at rear<br/>Made in Colombia</p>,TEMPO DUSK,"Reversible
Seamless
Low rise
Less coverage at rear
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,TEMPO DUSK,,active,2018,61.12.41.00.00,2023sbc01|2023scc01
second_nature,4 Level Product Style,SECOND NATURE,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SECOND NATURE,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Less coverage at rear<br/>Made in Colombia</p>,SECOND NATURE,"Reversible
Seamless
Low rise
Less coverage at rear
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,SECOND NATURE,,active,2018,61.12.41.00.00,2188sbc01|2188scc01
sand_momentum,4 Level Product Style,SAND MOMENTUM,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SAND MOMENTUM,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Long sleeve one piece <br/>Zipper on mid-front to close<br/>Made in Colombia</p>,SAND MOMENTUM,"Reversible
Long sleeve one piece 
Zipper on mid-front to close
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,SAND MOMENTUM,,active,2018,61.12.41.00.00,2185sob01|2185soc01
dolce_veloce,4 Level Product Style,DOLCE VELOCE,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",DOLCE VELOCE,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Full coverage<br/>Made in Colombia</p>,DOLCE VELOCE,"Reversible
Seamless
Low rise
Full coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,DOLCE VELOCE,,active,2018,61.12.41.00.00,1932sac02|1932sbc02
curuba_hibiscus,4 Level Product Style,CURUBA HIBISCUS,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",CURUBA HIBISCUS,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/<Moderate coverage<br/>Made in Colombia</p>,CURUBA HIBISCUS,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,SUMMER 2018,COLOMBIA,,,,CURUBA HIBISCUS,,active,2018,61.12.41.00.00,2062sbc12|2062scc12
